# Non-Graphitized carbon black (NGCB), N2, 77.4 K
# K. Nakai et al., DOI:10.1016/j.jcis.2010.08.005
# V(alpha-s=1) = V(P/P0=0.4) = V0.4 = 6.96 [cm3(STP)/g], V(theta=1)=4.34 [cm3(STP)/g], S(BET) = 18.9 [m2/g]
# S(alpha-s)[m2/g] = slope[cm3(STP)/g] * 18.9/6.96 = slope[cm3(STP)/g] * 2.715517
# [pyGASP] BET surface area: a = 19 m2/g, The BET constant is: C = 138, Amount for a monolayer: n = 0.00019 mol/g
#   Amount for a monolayer: n = 0.00019 / (1/1000/22.414) = 0.00019 / 4.461e-5 = 4.25913472 [cm3(STP)/g]
# n/(molecules/nm2) = 0.602 * Gamma/(micro mol/m2)
# P/P0, alpha-s, Gamma(micro mol/m2), V[cm3(STP)/g], t[nm]
0.00000005, 0.0022, 0.035, 0.015312, 1.272664134
0.00000007, 0.0034, 0.057, 0.023664, 1.966844571
0.0000001, 0.005, 0.083, 0.0348, 2.892418486
0.00000015, 0.0066, 0.109, 0.045936, 3.817992402
0.0000002, 0.0076, 0.125, 0.052896, 4.396476099
0.00000025, 0.0085, 0.14, 0.05916, 4.917111427
0.0000003, 0.0093, 0.154, 0.064728, 5.379898385
0.0000004, 0.0111, 0.182, 0.077256, 6.42116904
0.0000005, 0.0126, 0.208, 0.087696, 7.288894586
0.000001, 0.0184, 0.303, 0.128064, 10.64410003
0.0000013, 0.021, 0.345, 0.14616, 12.14815764
0.000002, 0.0256, 0.421, 0.178176, 14.80918265
0.000003, 0.0309, 0.508, 0.215064, 17.87514625
0.000004, 0.0359, 0.591, 0.249864, 20.76756473
0.000005, 0.0402, 0.662, 0.279792, 23.25504463
0.000006, 0.0445, 0.733, 0.30972, 25.74252453
0.000008, 0.0503, 0.828, 0.350088, 29.09772997
0.00001, 0.056, 0.922, 0.38976, 32.39508705
0.000013, 0.0618, 1.017, 0.430128, 35.75029249
0.00002, 0.0733, 1.206, 0.510168, 42.40285501
0.00003, 0.0862, 1.419, 0.599952, 49.8652947
0.00004, 0.0977, 1.608, 0.679992, 56.51785722
0.00006, 0.115, 1.89, 0.8004, 66.52562519
0.00008, 0.129, 2.13, 0.89784, 74.62439695
0.0001, 0.144, 2.36, 1.00224, 83.30165241
0.00013, 0.161, 2.65, 1.12056, 93.13587526
0.0002, 0.19, 3.12, 1.3224, 109.9119025
0.0003, 0.223, 3.66, 1.55208, 129.0018645
0.0004, 0.25, 4.11, 1.74, 144.6209243
0.0005, 0.27, 4.45, 1.8792, 156.1905983
0.0006, 0.283, 4.66, 1.96968, 163.7108863
0.0008, 0.309, 5.08, 2.15064, 178.7514625
0.001, 0.33, 5.44, 2.2968, 190.8996201
0.0013, 0.352, 5.79, 2.44992, 203.6262614
0.002, 0.382, 6.29, 2.65872, 220.9807724
0.003, 0.409, 6.74, 2.84664, 236.5998322
0.005, 0.441, 7.26, 3.06936, 255.1113105
0.006, 0.453, 7.45, 3.15288, 262.0531149
0.008, 0.471, 7.76, 3.27816, 272.4658214
0.01, 0.484, 7.97, 3.36864, 279.9861095
0.013, 0.499, 8.2, 3.47304, 288.6633649
0.02, 0.522, 8.58, 3.63312, 301.96849
0.03, 0.546, 8.99, 3.80016, 315.8520987
0.04, 0.568, 9.34, 3.95328, 328.57874
0.05, 0.582, 9.58, 4.05072, 336.6775118
0.06, 0.596, 9.81, 4.14816, 344.7762836
0.08, 0.621, 10.21, 4.32216, 359.238376
0.1, 0.644, 10.59, 4.48224, 372.543501
0.12, 0.668, 10.99, 4.64928, 386.4271098
0.14, 0.687, 11.3, 4.78152, 397.4183
0.16, 0.711, 11.7, 4.94856, 411.3019088
0.18, 0.733, 12.06, 5.10168, 424.0285501
0.2, 0.754, 12.41, 5.24784, 436.1767077
0.22, 0.78, 12.84, 5.4288, 451.2172839
0.24, 0.802, 13.19, 5.58192, 463.9439252
0.26, 0.825, 13.57, 5.742, 477.2490502
0.28, 0.848, 13.95, 5.90208, 490.5541753
0.3, 0.874, 14.38, 6.08304, 505.5947514
0.32, 0.899, 14.8, 6.25704, 520.0568438
0.34, 0.922, 15.18, 6.41712, 533.3619689
0.36, 0.948, 15.61, 6.59808, 548.402545
0.38, 0.974, 16.03, 6.77904, 563.4431211
0.4, 1, 16.46, 6.96, 578.4836973
0.42, 1.02, 16.8, 7.0992, 590.0533712
0.44, 1.05, 17.3, 7.308, 607.4078821
0.46, 1.07, 17.7, 7.4472, 618.9775561
0.48, 1.1, 18.1, 7.656, 636.332067
0.5, 1.12, 18.5, 7.7952, 647.9017409
0.52, 1.15, 18.9, 8.004, 665.2562519
0.54, 1.18, 19.4, 8.2128, 682.6107628
0.56, 1.21, 19.9, 8.4216, 699.9652737
0.58, 1.24, 20.4, 8.6304, 717.3197846
0.6, 1.27, 20.9, 8.8392, 734.6742955
0.62, 1.3, 21.4, 9.048, 752.0288065
